puzzleDate,difficulty,solutionGrid,staticCells
6/13/2026,Easy,"[
 [""E"", ""N"", ""T"", ""E"", ""R""],
 [""E"", null, ""A"", null, ""U""],
 [""R"", ""O"", ""U"", ""N"", ""D""],
 [""I"", null, ""N"", null, ""E""],
 [""E"", ""A"", ""T"", ""E"", ""R""]
    ]","[
      [true, false, false, false, true],
      [false, null, false, null, false],
      [true, true, true, true, false],
      [true, null, true, null, true],
      [true, false, true, true, true]
    ]"
6/13/2026,Medium,"[
 [""S"", ""H"", ""Y"", ""L"", ""Y""],
 [""L"", null, ""I"", null, ""E""],
 [""A"", ""R"", ""E"", ""N"", ""A""],
 [""S"", null, ""L"", null, ""S""],
 [""H"", ""A"", ""D"", ""S"", ""T""]
    ]","[
      [true, true, false, false, false],
      [false, null, true, null, true],
      [false, false, true, true, false],
      [false, null, false, null, false],
      [true, false, false, true, true]
    ]"
6/13/2026,Hard,"[
 [""I"", ""N"", ""L"", ""A"", ""Y""],
 [""S"", null, ""O"", null, ""I""],
 [""L"", ""E"", ""D"", ""G"", ""E""],
 [""E"", null, ""G"", null, ""L""],
 [""T"", ""R"", ""E"", ""A"", ""D""]
    ]","[
      [false, true, false, false, false],
      [true, null, true, null, false],
      [true, true, false, false, true],
      [true, null, false, null, true],
      [false, false, true, false, false]
    ]"
6/14/2026,Easy,"[
 [""C"", ""H"", ""E"", ""E"", ""R""],
 [""O"", null, ""X"", null, ""I""],
 [""U"", ""S"", ""U"", ""R"", ""P""],
 [""N"", null, ""L"", null, ""E""],
 [""T"", ""I"", ""T"", ""A"", ""N""]
    ]","[
      [true, true, false, false, true],
      [false, null, true, null, true],
      [false, false, true, false, false],
      [true, null, true, null, false],
      [true, false, true, true, true]
    ]"
6/14/2026,Medium,"[
 [""S"", ""P"", ""A"", ""N"", ""K""],
 [""I"", null, ""R"", null, ""N""],
 [""G"", ""A"", ""B"", ""L"", ""E""],
 [""H"", null, ""O"", null, ""L""],
 [""T"", ""A"", ""R"", ""O"", ""T""]
    ]","[
      [true, false, true, false, true],
      [true, null, false, null, true],
      [false, false, true, false, false],
      [true, null, false, null, false],
      [true, false, false, false, true]
    ]"
6/14/2026,Hard,"[
 [""T"", ""O"", ""K"", ""E"", ""N""],
 [""H"", null, ""A"", null, ""I""],
 [""A"", ""G"", ""R"", ""E"", ""E""],
 [""N"", null, ""M"", null, ""C""],
 [""K"", ""N"", ""A"", ""V"", ""E""]
    ]","[
      [true, true, true, false, false],
      [false, null, false, null, false],
      [true, true, true, false, false],
      [false, null, false, null, false],
      [false, false, true, false, true]
    ]"
6/15/2026,Easy,"[
 [""C"", ""O"", ""V"", ""E"", ""T""],
 [""R"", null, ""I"", null, ""H""],
 [""E"", ""A"", ""G"", ""L"", ""E""],
 [""E"", null, ""I"", null, ""R""],
 [""P"", ""U"", ""L"", ""S"", ""E""]
    ]","[
      [true, false, true, false, true],
      [true, null, false, null, false],
      [true, false, true, false, false],
      [false, null, false, null, true],
      [true, false, true, true, true]
    ]"
6/15/2026,Medium,"[
 [""V"", ""E"", ""G"", ""A"", ""N""],
 [""I"", null, ""R"", null, ""U""],
 [""C"", ""H"", ""O"", ""I"", ""R""],
 [""A"", null, ""S"", null, ""S""],
 [""R"", ""A"", ""S"", ""A"", ""E""]
    ]","[
      [true, false, true, true, true],
      [false, null, true, null, true],
      [false, false, true, false, false],
      [false, null, false, null, false],
      [true, false, true, true, true]
    ]"
6/15/2026,Hard,"[
 [""R"", ""I"", ""V"", ""E"", ""T""],
 [""U"", null, ""A"", null, ""E""],
 [""D"", ""R"", ""U"", ""M"", ""S""],
 [""E"", null, ""L"", null, ""T""],
 [""R"", ""A"", ""T"", ""T"", ""Y""]
    ]","[
      [false, false, true, true, false],
      [true, null, false, null, false],
      [true, false, false, false, false],
      [true, null, false, null, true],
      [true, false, true, false, true]
    ]"
6/16/2026,Easy,"[
 [""C"", ""H"", ""I"", ""C"", ""K""],
 [""L"", null, ""D"", null, ""N""],
 [""O"", ""P"", ""I"", ""N"", ""E""],
 [""N"", null, ""O"", null, ""E""],
 [""E"", ""X"", ""T"", ""O"", ""L""]
    ]","[
      [true, false, false, true, true],
      [true, null, false, null, true],
      [false, true, true, false, true],
      [false, null, false, null, true],
      [true, true, true, false, true]
    ]"
