puzzleDate,difficulty,solutionGrid,staticCells,words,definitions
8/15/2026,Easy,"[
 [""S"", ""K"", ""I"", ""L"", ""L""],
 [""W"", null, ""S"", null, ""A""],
 [""E"", ""A"", ""S"", ""E"", ""D""],
 [""A"", null, ""U"", null, ""E""],
 [""T"", ""H"", ""E"", ""G"", ""N""]
    ]","[
      [true, true, false, false, true],
      [false, null, false, null, true],
      [true, true, true, false, false],
      [true, null, true, null, true],
      [true, false, true, true, true]
    ]","[""SKILL"",""EASED"",""THEGN"",""SWEAT"",""ISSUE"",""LADEN""]","[{""word"":""SKILL"",""pos"":""noun"",""def"":""Capacity to do something well; technique, ability. Skills are usually acquired or learned, as opposed to abilities, which are often thought of as innate.""},{""word"":""EASED"",""pos"":""verb"",""def"":""To free (something) from pain, worry, agitation, etc.""},{""word"":""THEGN"",""pos"":""noun"",""def"":""A rank of nobility in pre-Norman England, roughly equivalent to baron.""},{""word"":""SWEAT"",""pos"":""noun"",""def"":""Fluid that exits the body through pores in the skin usually due to physical stress and/or high temperature for the purpose of regulating body temperature and removing certain compounds from the circulation.""},{""word"":""ISSUE"",""pos"":""noun"",""def"":""The action or an instance of flowing or coming out, an outflow, particularly:""},{""word"":""LADEN"",""pos"":""verb"",""def"":""To fill or load (related to cargo or a shipment).""}]"
8/15/2026,Medium,"[
 [""M"", ""O"", ""U"", ""T"", ""H""],
 [""E"", null, ""N"", null, ""A""],
 [""D"", ""E"", ""L"", ""F"", ""T""],
 [""A"", null, ""I"", null, ""C""],
 [""L"", ""A"", ""T"", ""C"", ""H""]
    ]","[
      [true, false, true, false, true],
      [false, null, false, null, false],
      [false, true, true, false, true],
      [true, null, true, null, false],
      [true, true, false, false, true]
    ]","[""MOUTH"",""DELFT"",""LATCH"",""MEDAL"",""UNLIT"",""HATCH""]","[{""word"":""MOUTH"",""pos"":""noun"",""def"":""The opening of a creature through which food is ingested.""},{""word"":""DELFT"",""pos"":""noun"",""def"":""A style of blue and white earthenware.""},{""word"":""LATCH"",""pos"":""verb"",""def"":""To close or lock as if with a latch.""},{""word"":""MEDAL"",""pos"":""noun"",""def"":""A stamped metal disc used as a personal ornament, a charm, or a religious object.""},{""word"":""UNLIT"",""pos"":""adjective"",""def"":""Not lit""},{""word"":""HATCH"",""pos"":""noun"",""def"":""A horizontal door in a floor or ceiling.""}]"
8/15/2026,Hard,"[
 [""P"", ""O"", ""L"", ""Y"", ""P""],
 [""L"", null, ""O"", null, ""I""],
 [""A"", ""D"", ""U"", ""L"", ""T""],
 [""Z"", null, ""S"", null, ""C""],
 [""A"", ""L"", ""E"", ""P"", ""H""]
    ]","[
      [false, true, false, false, true],
      [true, null, false, null, true],
      [false, true, false, false, true],
      [true, null, false, null, false],
      [true, true, false, false, false]
    ]","[""POLYP"",""ADULT"",""ALEPH"",""PLAZA"",""LOUSE"",""PITCH""]","[{""word"":""POLYP"",""pos"":""noun"",""def"":""An abnormal growth protruding from a mucous membrane""},{""word"":""ADULT"",""pos"":""noun"",""def"":""A fully grown human or animal.""},{""word"":""ALEPH"",""pos"":""noun"",""def"":""The first letter of the Proto-Canaanite alphabet, and its descendants in descended Semitic scripts, such as Phoenician 𐤀, Aramaic 𐡀, Syriac ܐ, Hebrew א and Arabic ا.""},{""word"":""PLAZA"",""pos"":""noun"",""def"":""A town's public square.""},{""word"":""LOUSE"",""pos"":""noun"",""def"":""A small parasitic wingless insect of the order Psocodea.""},{""word"":""PITCH"",""pos"":""noun"",""def"":""A sticky, gummy substance secreted by trees; sap.""}]"
8/16/2026,Easy,"[
 [""F"", ""U"", ""S"", ""S"", ""Y""],
 [""L"", null, ""C"", null, ""E""],
 [""O"", ""C"", ""R"", ""E"", ""A""],
 [""U"", null, ""U"", null, ""S""],
 [""T"", ""E"", ""M"", ""P"", ""T""]
    ]","[
      [true, true, false, false, true],
      [false, null, false, null, false],
      [false, true, true, true, true],
      [true, null, true, null, false],
      [true, true, false, false, true]
    ]","[""FUSSY"",""OCREA"",""TEMPT"",""FLOUT"",""SCRUM"",""YEAST""]","[{""word"":""FUSSY"",""pos"":""adjective"",""def"":""Anxious or particular about petty details.""},{""word"":""OCREA"",""pos"":""noun"",""def"":""A sheath around a plant stem forming from the stipule of a leaf and extending above the point of insertion of the leaf.""},{""word"":""TEMPT"",""pos"":""verb"",""def"":""To provoke someone to do wrong, especially by promising a reward; to entice.""},{""word"":""FLOUT"",""pos"":""noun"",""def"":""The act by which something is flouted; violation of a law.""},{""word"":""SCRUM"",""pos"":""noun"",""def"":""A tightly-packed and disorderly crowd of people.""},{""word"":""YEAST"",""pos"":""noun"",""def"":""An often humid, yellowish froth produced by fermenting malt worts, and used to brew beer, leaven bread, and also used in certain medicines.""}]"
8/16/2026,Medium,"[
 [""B"", ""E"", ""L"", ""L"", ""E""],
 [""L"", null, ""A"", null, ""L""],
 [""O"", ""U"", ""T"", ""R"", ""E""],
 [""A"", null, ""T"", null, ""C""],
 [""T"", ""H"", ""E"", ""F"", ""T""]
    ]","[
      [false, false, true, true, true],
      [true, null, true, null, true],
      [false, false, true, false, false],
      [true, null, false, null, false],
      [true, true, true, false, true]
    ]","[""BELLE"",""OUTRE"",""THEFT"",""BLOAT"",""LATTE"",""ELECT""]","[{""word"":""BELLE"",""pos"":""noun"",""def"":""An attractive woman.""},{""word"":""OUTRE"",""pos"":""adjective"",""def"":""Beyond what is customary or proper; extravagant.""},{""word"":""THEFT"",""pos"":""noun"",""def"":""The act of stealing property.""},{""word"":""BLOAT"",""pos"":""noun"",""def"":""Distention of the abdomen from death.""},{""word"":""LATTE"",""pos"":""noun"",""def"":""A drink of coffee made from espresso and steamed milk, generally topped with foam.""},{""word"":""ELECT"",""pos"":""noun"",""def"":""One chosen or set apart.""}]"
8/16/2026,Hard,"[
 [""K"", ""I"", ""T"", ""T"", ""Y""],
 [""I"", null, ""E"", null, ""E""],
 [""O"", ""C"", ""R"", ""E"", ""A""],
 [""S"", null, ""R"", null, ""S""],
 [""K"", ""R"", ""A"", ""F"", ""T""]
    ]","[
      [true, false, false, false, true],
      [false, null, false, null, false],
      [false, true, true, true, false],
      [true, null, false, null, false],
      [true, true, true, false, true]
    ]","[""KITTY"",""OCREA"",""KRAFT"",""KIOSK"",""TERRA"",""YEAST""]","[{""word"":""KITTY"",""pos"":""noun"",""def"":""A kitten or young cat.""},{""word"":""OCREA"",""pos"":""noun"",""def"":""A sheath around a plant stem forming from the stipule of a leaf and extending above the point of insertion of the leaf.""},{""word"":""KRAFT"",""pos"":""noun"",""def"":""A kind of strong, smooth brown wrapping paper.""},{""word"":""KIOSK"",""pos"":""noun"",""def"":""A small enclosed structure, often freestanding, open on one side or with a window, used as a booth to sell newspapers, cigarettes, etc.""},{""word"":""TERRA"",""pos"":""noun"",""def"":""(astrogeology) A rough upland or mountainous region of the Moon with a relatively high albedo.""},{""word"":""YEAST"",""pos"":""noun"",""def"":""An often humid, yellowish froth produced by fermenting malt worts, and used to brew beer, leaven bread, and also used in certain medicines.""}]"
8/17/2026,Easy,"[
 [""R"", ""E"", ""L"", ""A"", ""Y""],
 [""O"", null, ""A"", null, ""U""],
 [""C"", ""U"", ""B"", ""I"", ""C""],
 [""K"", null, ""O"", null, ""C""],
 [""Y"", ""E"", ""R"", ""B"", ""A""]
    ]","[
      [true, true, false, false, true],
      [false, null, true, null, true],
      [true, false, true, true, true],
      [false, null, false, null, false],
      [true, false, true, false, true]
    ]","[""RELAY"",""CUBIC"",""YERBA"",""ROCKY"",""LABOR"",""YUCCA""]","[{""word"":""RELAY"",""pos"":""noun"",""def"":""A new set of hounds.""},{""word"":""CUBIC"",""pos"":""noun"",""def"":""A cubic curve.""},{""word"":""YERBA"",""pos"":""noun"",""def"":""Ilex paraguariensis, a species of holly native to southern South America; or the dried leaves and twigs of this plant, used to make the caffeine-rich beverage mate.""},{""word"":""ROCKY"",""pos"":""adjective"",""def"":""Unstable; easily rocked.""},{""word"":""LABOR"",""pos"":""noun"",""def"":""Effort expended on a particular task; toil, work.""},{""word"":""YUCCA"",""pos"":""noun"",""def"":""Any of several evergreen plants of the genus Yucca, having long, pointed, and rigid leaves at the top of a woody stem, and bearing a large panicle of showy white blossoms.""}]"
8/17/2026,Medium,"[
 [""P"", ""I"", ""A"", ""N"", ""O""],
 [""L"", null, ""X"", null, ""W""],
 [""A"", ""L"", ""I"", ""E"", ""N""],
 [""C"", null, ""O"", null, ""E""],
 [""E"", ""M"", ""M"", ""E"", ""R""]
    ]","[
      [true, false, false, true, true],
      [false, null, false, null, false],
      [false, true, false, true, true],
      [true, null, true, null, true],
      [true, false, true, false, true]
    ]","[""PIANO"",""ALIEN"",""EMMER"",""PLACE"",""AXIOM"",""OWNER""]","[{""word"":""PIANO"",""pos"":""noun"",""def"":""A percussive keyboard musical instrument, usually ranging over seven octaves, with white and black colored keys, played by pressing these keys, causing hammers to strike strings""},{""word"":""ALIEN"",""pos"":""noun"",""def"":""Any life form of extraterrestrial or extradimensional origin.""},{""word"":""EMMER"",""pos"":""noun"",""def"":""A species of wheat, Triticum dicoccon, one of a group of hulled wheats that are important food grains.""},{""word"":""PLACE"",""pos"":""noun"",""def"":""(physical) An area; somewhere within an area.""},{""word"":""AXIOM"",""pos"":""noun"",""def"":""A seemingly self-evident or necessary truth which is based on assumption; a principle or proposition which cannot actually be proved or disproved.""},{""word"":""OWNER"",""pos"":""noun"",""def"":""One who owns something.""}]"
8/17/2026,Hard,"[
 [""W"", ""A"", ""V"", ""E"", ""R""],
 [""I"", null, ""O"", null, ""E""],
 [""T"", ""E"", ""T"", ""R"", ""A""],
 [""C"", null, ""E"", null, ""R""],
 [""H"", ""A"", ""R"", ""E"", ""M""]
    ]","[
      [true, true, false, true, false],
      [true, null, true, null, false],
      [false, false, false, false, false],
      [false, null, true, null, true],
      [true, true, true, false, false]
    ]","[""WAVER"",""TETRA"",""HAREM"",""WITCH"",""VOTER"",""REARM""]","[{""word"":""WAVER"",""pos"":""noun"",""def"":""An act of wavering, vacillating, etc.""},{""word"":""TETRA"",""pos"":""noun"",""def"":""Any of numerous species of small South American freshwater fish of the family Characidae, popular in home aquariums.""},{""word"":""HAREM"",""pos"":""noun"",""def"":""The private part of an Arab household, traditionally forbidden to male strangers.""},{""word"":""WITCH"",""pos"":""noun"",""def"":""A person who practices witchcraft; a woman or man who practices witchcraft.""},{""word"":""VOTER"",""pos"":""noun"",""def"":""Someone who votes.""},{""word"":""REARM"",""pos"":""verb"",""def"":""To replace or restore the weapons or arms of a previously defeated, or disarmed army, country, person or other body.""}]"
8/18/2026,Easy,"[
 [""N"", ""O"", ""R"", ""T"", ""H""],
 [""O"", null, ""A"", null, ""A""],
 [""O"", ""D"", ""D"", ""E"", ""R""],
 [""S"", null, ""A"", null, ""R""],
 [""E"", ""A"", ""R"", ""L"", ""Y""]
    ]","[
      [true, false, false, false, true],
      [true, null, false, null, false],
      [true, true, true, true, false],
      [false, null, false, null, false],
      [true, false, true, true, true]
    ]","[""NORTH"",""ODDER"",""EARLY"",""NOOSE"",""RADAR"",""HARRY""]","[{""word"":""NORTH"",""pos"":""noun"",""def"":""One of the four major compass points, specifically 0°, directed toward the North Pole, and conventionally upwards on a map, abbreviated as N.""},{""word"":""ODDER"",""pos"":""adjective"",""def"":""Differing from what is usual, ordinary or expected.""},{""word"":""EARLY"",""pos"":""noun"",""def"":""A shift (scheduled work period) that takes place early in the day.""},{""word"":""NOOSE"",""pos"":""noun"",""def"":""An adjustable loop of rope, such as the one placed around the neck in hangings, or the one at the end of a lasso.""},{""word"":""RADAR"",""pos"":""noun"",""def"":""A method of detecting distant objects and determining their position, velocity, or other characteristics by analysis of sent radio waves (usually microwaves) reflected from their surfaces""},{""word"":""HARRY"",""pos"":""verb"",""def"":""To plunder, pillage, assault.""}]"
